timestamp,value_min,value_q05,value_q95,value_max,value_mean,value_median,value_std,value_skew,value_sum,value_last,value_count
2009-04-22 00:00:00,-28749.5,-24652.10078125,33774.694140625,37243.3,937.8277,-4114.080078125,19619.58868488517,0.37659118,1.2660674e+06,12439.2,1350
2009-04-22 06:00:00,-28921.9,-27088.74521484375,30791.900390625,35846.6,714.1666,2081.614990234375,18703.111435996347,0.040194914,964124.94,10784.0,1350
2009-04-22 12:00:00,-36163.5,-31642.75078125,25866.59521484375,29335.8,1805.1573,7770.780029296875,19687.025493571986,-0.49310413,2.4369625e+06,21380.8,1350
2009-04-22 18:00:00,-35340.4,-30327.09521484375,28277.19521484375,31475.4,1100.2284,-136.68999481201172,19487.63656573809,-0.09203934,1.4853084e+06,23455.0,1350
2009-04-23 00:00:00,-28514.8,-25263.62421875,33839.75078125,37050.1,1005.4291,-4354.775146484375,19618.00198778961,0.37022856,1.3573292e+06,15009.6,1350
2009-04-23 06:00:00,-28895.1,-27346.78525390625,31005.900390625,35638.6,575.9584,1674.5099487304688,18680.22733229487,0.049203664,777543.8,10570.0,1350
2009-04-23 12:00:00,-36130.8,-31983.11474609375,25682.94013671875,29683.5,949.6109,6326.574951171875,19817.266095010968,-0.4236832,1.2819748e+06,21883.0,1350
2009-04-23 18:00:00,-35227.5,-30349.52021484375,28218.630078125,31528.9,1094.5105,-270.40899658203125,19261.76327371656,-0.101132944,1.4775892e+06,25324.1,1350
2009-04-24 00:00:00,-28618.8,-24339.63974609375,34150.2845703125,37445.4,679.9086,-4888.16015625,19740.898264400843,0.4194592,917876.7,18415.1,1350
2009-04-24 06:00:00,-28699.0,-26101.4404296875,31074.040136718748,35626.7,-123.310104,254.07350158691406,18560.985657025485,0.1626014,-166468.64,10489.8,1350
2009-04-24 12:00:00,-36077.3,-31918.09013671875,25575.665039062496,29166.4,472.6696,5571.784912109375,19636.614767715597,-0.40411475,638103.94,22970.6,1350
